FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
118,NOT TO BE NAMED (P-274) *(BETWEEN HURON HEIGHTS AND CENTRAL PKWY E| SOUTH OF EGLINGTON),333,BUD GREGORY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-274,OPEN,43.613511,-79.643581,0,0,0,0,0,0,0,0,0,0
119,LAKE WABUKAYNE,2610,INLAKE,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-007,OPEN,43.579674,-79.739334,0,0,0,0,0,1,0,0,0,0
120,MEADOWWOOD PARK,484,APPLE,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-006,OPEN,43.509012,-79.606884,0,0,0,0,1,1,0,0,0,0
121,LINCOLN HOLLOW,2475,LINCOLN GREEN,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-233,OPEN,43.531129,-79.657044,0,0,0,0,0,0,0,0,0,0
122,BELLA VISTA,26,HANSON,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-232,OPEN,43.585964,-79.626456,0,0,0,0,0,1,0,0,0,0
123,NOT YET NAMED (P-509)* (WEST OF CONFEDERATION AND PRINCES ROYAL DR),4114,CONFEDERATION,PKY,,MISSISSAUGA,P-509,WIP,43.586854,-79.648636,0,0,0,0,0,0,0,0,0,0
124,NOT YET NAMED (P-510)* (BETWEEN INDIAN VALLEY TRAIL AND KENOLLIE AVE| EAST OF STAVEBANK RD),330,INDIAN VALLEY,TR,CITY OF MISSISSAUGA,MISSISSAUGA,P-510,OPEN,43.557189,-79.602131,0,0,0,0,0,0,0,0,0,0
125,BENARES MUSEUM GROUNDS,1503,CLARKSON,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-415,OPEN,43.528028,-79.636094,0,0,0,0,0,0,0,0,0,0
126,NOT YET NAMED (P-460) *(WEST OF ERIN CENTRE BLVD ALONG NINTH LINE),5250,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-460,OPEN,43.538583,-79.740613,0,0,0,0,0,0,0,0,0,0
127,NOT YET NAMED (P-459) *(CHURCHILL MEADOWS COMMUNITY PARK),5320,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-459,WIP,43.541783,-79.745147,0,0,0,0,0,0,0,0,0,0
128,DERRY SIDE GREEN,7889,TRANMERE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-225,OPEN,43.678491,-79.671871,0,0,0,0,0,0,2,0,0,0
129,DUNTON ATHLETIC FIELDS,6180,KENNEDY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-224,OPEN,43.638396,-79.674588,0,0,0,0,0,0,0,4,0,0
131,LORNEWOOD CREEK TRAIL,880,QUEEN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-182,OPEN,43.537194,-79.605689,0,0,0,0,0,0,0,0,0,0
132,ERIN MEADOWS,2800,ERIN CENTRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-447,OPEN,43.555333,-79.71798,0,6,0,0,0,0,0,0,0,0
134,SPARLING WOODS,3800,ERIN CENTRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-404,OPEN,43.541419,-79.736744,0,0,0,0,0,0,0,0,0,0
135,NOT YET NAMED (P-403) *(BETWEEN TENTH LINE AND OSCAR PETERSON BLVD| SOUTH OF THOMAS),5515,TENTH LINE WEST,,CITY OF MISSISSAUGA,MISSISSAUGA,P-403,OPEN,43.557849,-79.738483,0,0,0,0,0,0,0,0,0,0
136,F.B. MCFARREN MEMORIAL PARK,5255,MCFARREN,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-367,OPEN,43.567876,-79.717163,0,0,0,0,0,1,1,0,0,0
137,DUNN PARK,4066,ERIN MILLS,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-366,OPEN,43.54892,-79.689167,0,0,0,0,0,0,0,0,0,0
138,APPLEDALE PARK,1325,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-329,OPEN,43.583983,-79.552326,0,0,0,0,0,0,0,0,0,0
139,MEADOWVALE CONSERVATION AREA,1081,OLD DERRY,RD,CREDIT VALLEY CONSERVATION,MISSISSAUGA,P-328,OPEN,43.628579,-79.743822,0,0,0,0,0,0,0,0,0,0
140,CAWTHRA PARK,1399,CAWTHRA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-074,OPEN,43.580648,-79.57735,0,0,0,0,0,0,1,0,0,0
141,CLARKSON PARK,1125,WINSTON CHURCHILL,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-073,OPEN,43.500999,-79.647123,1,0,0,0,1,1,1,0,0,0
